X	CH1	CH2
-0.000044	0.032	0.72
-0.00004	0.136	-0.16
-0.000036	0.216	-0.96
-0.000032	0.248	-1.52
-0.000028	0.272	-1.84
-0.000024	0.248	-2
-0.00002	0.208	-2
-0.000016	0.12	-1.68
-0.000012	0.016	-1.12
-0.000008	-0.0799	-0.24
-0.000004	-0.144	0.56
0	-0.224	1.2
0.000004	-0.248	1.68
0.000008	-0.232	1.84
0.000012	-0.192	1.92
0.000016	-0.12	1.76
0.00002	-0.024	1.2
0.000024	0.072	0.4
0.000028	0.168	-0.48
0.000032	0.224	-1.12
0.000036	0.256	-1.76
0.00004	0.272	-1.92
0.000044	0.232	-2
0.000048	0.176	-1.92
0.000052	0.096	-1.52
0.000056	-0.008	-0.8
0.00006	-0.104	0.0799
0.000064	-0.176	0.8
0.000068	-0.24	1.44
0.000072	-0.24	1.84
0.000076	-0.224	1.92
0.00008	-0.176	1.84
0.000084	-0.0879	1.6
0.000088	0	0.96
0.000092	0.104	0.16
0.000096	0.184	-0.72
0.0001	0.24	-1.36
0.000104	0.272	-1.84
0.000108	0.256	-2
0.000112	0.216	-2
0.000116	0.152	-1.84
0.00012	0.048	-1.28
0.000124	-0.04	-0.56
0.000128	-0.128	0.24
0.000132	-0.208	1.12
0.000136	-0.24	1.6
0.00014	-0.248	1.84
0.000144	-0.216	1.84
0.000148	-0.136	1.84
0.000152	-0.064	1.36
0.000156	0.04	0.72
0.00016	0.136	-0.16
0.000164	0.208	-0.88
0.000168	0.264	-1.52
0.000172	0.272	-1.84
0.000176	0.24	-2
0.00018	0.208	-2
0.000184	0.112	-1.76
0.000188	0.016	-1.12
0.000192	-0.072	-0.24
0.000196	-0.16	0.56
0.0002	-0.208	1.2
0.000204	-0.248	1.76
0.000208	-0.24	1.92
0.000212	-0.184	1.92
0.000216	-0.128	1.76
0.00022	-0.024	1.2
0.000224	0.0799	0.4
0.000228	0.16	-0.4
0.000232	0.232	-1.12
0.000236	0.256	-1.68
0.00024	0.264	-2
0.000244	0.24	-2
0.000248	0.168	-1.84
0.000252	0.096	-1.52
0.000256	-0.008	-0.8
0.00026	-0.112	0.0799
0.000264	-0.176	0.8
0.000268	-0.24	1.36
0.000272	-0.24	1.84
0.000276	-0.224	1.92
0.00028	-0.168	1.84
0.000284	-0.0879	1.6
0.000288	0	1.04
0.000292	0.104	0.16
0.000296	0.192	-0.72
0.0003	0.232	-1.36
0.000304	0.272	-1.84
0.000308	0.256	-2
0.000312	0.224	-2
0.000316	0.152	-1.84
0.00032	0.048	-1.36
0.000324	-0.04	-0.56
0.000328	-0.128	0.4
0.000332	-0.2	1.04
0.000336	-0.24	1.6
0.00034	-0.248	1.84
0.000344	-0.208	1.84
0.000348	-0.144	1.84
0.000352	-0.064	1.44
0.000356	0.04	0.72
0.00036	0.128	-0.16
0.000364	0.216	-0.96
0.000368	0.256	-1.52
0.000372	0.264	-1.84
0.000376	0.256	-2
0.00038	0.2	-2
0.000384	0.112	-1.68
0.000388	0.016	-1.12
0.000392	-0.072	-0.24
0.000396	-0.152	0.56
0.0004	-0.224	1.2
0.000404	-0.24	1.68
0.000408	-0.24	2
0.000412	-0.192	1.92
0.000416	-0.12	1.68
0.00042	-0.032	1.2
0.000424	0.072	0.48
0.000428	0.16	-0.4
0.000432	0.224	-1.2
0.000436	0.264	-1.68
0.00044	0.264	-2
0.000444	0.24	-2
0.000448	0.176	-1.92
0.000452	0.0879	-1.52
0.000456	-0.008	-0.8
0.00046	-0.104	0.0799
0.000464	-0.176	0.8
0.000468	-0.232	1.44
0.000472	-0.248	1.84
0.000476	-0.224	1.92
0.00048	-0.176	1.84
0.000484	-0.0879	1.52
0.000488	0	0.96
0.000492	0.104	0.16
0.000496	0.192	-0.72
0.0005	0.24	-1.36
0.000504	0.272	-1.84
0.000508	0.256	-2
0.000512	0.224	-2
0.000516	0.152	-1.84
0.00052	0.048	-1.28
0.000524	-0.04	-0.56
0.000528	-0.136	0.24
0.000532	-0.2	1.04
0.000536	-0.24	1.52
0.00054	-0.248	1.84
0.000544	-0.216	1.92
0.000548	-0.152	1.76
0.000552	-0.048	1.44
0.000556	0.032	0.72
0.00056	0.136	-0.16
0.000564	0.208	-0.88
0.000568	0.248	-1.52
0.000572	0.272	-1.84
0.000576	0.24	-2
0.00058	0.208	-2
0.000584	0.112	-1.68
0.000588	0.024	-1.12
0.000592	-0.064	-0.24
0.000596	-0.16	0.56
0.0006	-0.216	1.2
0.000604	-0.248	1.68
0.000608	-0.232	1.92
0.000612	-0.192	1.84
0.000616	-0.128	1.76
0.00062	-0.024	1.28
0.000624	0.064	0.4
0.000628	0.168	-0.48
0.000632	0.224	-1.2
0.000636	0.264	-1.76
0.00064	0.272	-2
0.000644	0.232	-2
0.000648	0.184	-1.92
0.000652	0.0799	-1.52
0.000656	-0.008	-0.8
0.00066	-0.104	0.0799
